metric,baseline_mean,extended_mean,mean_delta,delta_ci_lower_empirical,delta_ci_upper_empirical,share_folds_extended_better,n_fold_scores
roc_auc,0.7623344279182246,0.7626722793143436,0.00033785139611867504,-0.00041136954770222274,0.0009746900238663981,0.6666666666666666,15
average_precision,0.5117673899900554,0.511396130835067,-0.00037125915498844214,-0.0014717587265782929,0.0005858149116050205,0.3333333333333333,15
neg_brier,-0.1909202843270128,-0.19076397376765006,0.00015631055936277856,2.962391434663536e-05,0.00026707608197774625,1.0,15
